,index,City,Country,Date,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),WindSpeed(mph)
0,0,half moon bay,US,1547340960,37.46,-122.43,57.87,57,40,9.17
1,1,atuona,PF,1547343917,-9.8,-139.03,80.19,100,68,15.84
2,2,taolanaro,,,,,,,,
3,3,fairlie,US,1547343300,33.31,-95.96,43.25,72,90,12.75
4,4,faanui,PF,1547343606,-16.48,-151.75,82.44,100,92,22.32
5,5,acapulco,MX,1547340480,16.86,-99.88,80.6,78,40,8.05
6,6,bethel,US,1547340960,60.79,-161.76,-8.79,77,75,20.8
7,7,carnarvon,ZA,1547343420,-30.97,22.13,50.31,94,0,6.22
8,8,qaqortoq,GL,1547340600,60.72,-46.03,30.2,86,92,3.36
9,9,sur,OM,1547343919,22.57,59.53,69.75,100,8,4.38
10,10,agadez,NE,1547343746,16.97,7.99,53.1,45,8,1.36
11,11,kaitangata,NZ,1547343490,-46.28,169.85,56.07,100,100,5.06
12,12,port elizabeth,US,1547342640,39.31,-74.98,30.67,58,75,3.36
13,13,oksfjord,NO,1547342400,70.24,22.35,31.17,86,80,17.22
14,14,san cristobal,EC,1547341200,-0.39,-78.55,52.41,100,90,3.36
15,15,monrovia,LR,1547339400,6.33,-10.8,78.8,94,20,3.09
16,16,sitka,US,1547343920,37.17,-99.65,28.26,91,20,9.31
17,17,kapaa,US,1547340960,22.08,-159.32,79.16,68,75,9.17
18,18,bitung,ID,1547341200,1.44,125.19,84.2,74,20,2.24
19,19,rikitea,PF,1547343921,-23.12,-134.97,79.29,99,80,13.6
20,20,mbarara,UG,1547343921,-0.61,30.65,54.27,80,48,2.71
21,21,lima,PE,1547341200,-12.06,-77.04,73.4,83,0,20.8
22,22,srednekolymsk,RU,1547343764,67.46,153.71,-20.89,31,80,3.49
23,23,laguna,MX,1547340060,27.52,-110.01,69.8,46,20,4.7
24,24,mukhen,RU,1547343922,48.19,136.14,12.69,59,0,0.69
25,25,punta arenas,CL,1547341200,-53.16,-70.91,46.4,65,75,28.86
26,26,ushuaia,AR,1547341200,-54.81,-68.31,42.8,75,40,33.33
27,27,cape town,ZA,1547341200,-33.93,18.42,62.6,93,40,8.05
28,28,norman wells,CA,1547341200,65.28,-126.83,-40.01,65,40,2.24
29,29,anadyr,RU,1547341200,64.73,177.51,-16.61,68,0,17.9
30,30,santiago,CL,1547341200,-33.44,-70.65,67.35,55,0,11.41
31,31,bredasdorp,ZA,1547341200,-34.53,20.04,64.4,63,24,9.17
32,32,taksimo,RU,1547343613,56.36,114.84,-19.63,51,32,0.51
33,33,lakes entrance,AU,1547343923,-37.88,147.99,75.6,73,0,14.16
34,34,hobart,AU,1547341200,-42.88,147.33,69.8,44,0,12.75
35,35,kodiak,US,1547340900,39.95,-94.76,30.87,96,90,12.75
36,36,mataura,NZ,1547343409,-46.19,168.86,59.49,86,76,8.75
37,37,banda aceh,ID,1547343924,5.56,95.32,83.16,75,24,5.61
38,38,mar del plata,AR,1547343924,-46.43,-67.52,55.98,48,0,5.99
39,39,albany,US,1547342220,42.65,-73.75,15.17,44,75,5.82
